nombre_ruta_semantica,cluster_fisico_id,hotspot_id,latitude,longitude,total_camiones,avg_permanencia_min,avg_conduccion_horas,avg_conduccion_post_horas,opportunity_score,top_3_origenes,top_3_destinos
Murcia - Covera - Murcia - Songonera la Seca,49,hs_1,37.97918166649245,-1.1542512174932587,1,66.3,0.4,0.0,0.093,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,49,hs_47,37.8137574734625,-1.0697241925006487,1,80.8,0.3,0.4,0.101,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,50,hs_24,38.05312440721142,-1.2077891582364577,2,56.0,0.5,0.2,0.113,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,51,hs_17,37.807002712240546,-1.0016995608631607,1,74.1,0.2,0.4,0.087,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,52,hs_20,37.6050074882613,-0.9822946155772079,2,394.9,0.2,0.6,0.337,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,53,hs_1,37.97918166649245,-1.1542512174932587,2,25.0,0.2,0.0,0.062,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,53,hs_200,37.8533067,-1.0574187,1,99.2,0.2,0.3,0.113,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,54,hs_1,37.97918166649245,-1.1542512174932587,2,14.0,0.2,0.2,0.051,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,55,hs_0,37.87222609178602,-1.0917998074781925,1,43.5,0.1,0.2,0.05,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,55,hs_1,37.97918166649245,-1.1542512174932587,1,30.4,0.2,0.0,0.044,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
